#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_centrum;Centrum;Centrum;Centrum;;Centrum;;;;;;;;;x
b_centrum_adj;Centrumian;;centrumer;;;;;;;;;;;x
b_ceropo;Ceropo;Ceropo;Ceropo;;Ceropo;;;;;;;;;x
b_ceropo_adj;Ceropian;;ceroper;;;;;;;;;;;x
b_cigoru;Cigoru;Cigoru;Cigoru;;Cigoru;;;;;;;;;x
b_cigoru_adj;Cigorian;;cigorer;;;;;;;;;;;x
b_ciqenu;Ciqenu;Ciqenu;Ciqenu;;Ciqenu;;;;;;;;;x
b_ciqenu_adj;Ciqenian;;ciqener;;;;;;;;;;;x
b_cotra;Cotra;Cotra;Cotra;;Cotra;;;;;;;;;x
b_cotra_adj;Cotran;;cotrer;;;;;;;;;;;x
b_fatra;Fatra;Fatra;Fatra;;Fatra;;;;;;;;;x
b_fatra_adj;Fatran;;fatrer;;;;;;;;;;;x
b_ferolin;Ferolin;Ferolin;Ferolin;;Ferolin;;;;;;;;;x
b_ferolin_adj;Ferolinian;;feroliner;;;;;;;;;;;x
b_firestone;Firestone;Firestone;Firestone;;Firestone;;;;;;;;;x
b_firestone_adj;Firestonean;;firestoner;;;;;;;;;;;x
b_getra;Getra;Getra;Getra;;Getra;;;;;;;;;x
b_getra_adj;Getran;;getrer;;;;;;;;;;;x
b_girla;Girla;Girla;Girla;;Girla;;;;;;;;;x
b_girla_adj;Girlan;;girler;;;;;;;;;;;x
b_giroro;Giroro;Giroro;Giroro;;Giroro;;;;;;;;;x
b_giroro_adj;Girorian;;girorer;;;;;;;;;;;x
b_gisten;Gisten;Gisten;Gisten;;Gisten;;;;;;;;;x
b_gisten_adj;Gistenian;;gistener;;;;;;;;;;;x
b_glepo;Glepo;Glepo;Glepo;;Glepo;;;;;;;;;x
b_glepo_adj;Glepian;;gleper;;;;;;;;;;;x
b_glutko;Glutko;Glutko;Glutko;;Glutko;;;;;;;;;x
b_glutko_adj;Glutkian;;glutker;;;;;;;;;;;x
b_goronu;Goronu;Goronu;Goronu;;Goronu;;;;;;;;;x
b_goronu_adj;Goronian;;goroner;;;;;;;;;;;x
b_harlequin;Harlequin;Harlequin;Harlequin;;Harlequin;;;;;;;;;x
b_harlequin_adj;Harlequinian;;harlequiner;;;;;;;;;;;x
b_hirotra;Hirotra;Hirotra;Hirotra;;Hirotra;;;;;;;;;x
